GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
blg475e-project-2026,edu.itu.blg475e.gemini,HE012_longest,0,14,0,2,0,3,0,3,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE023_strlen,0,6,0,0,0,2,0,2,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE083_startsOneEnds,0,16,0,2,0,3,0,3,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE003_belowZero,0,27,0,4,0,8,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE028_concatenate,0,7,0,0,0,2,0,2,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE072_willItFly,0,28,0,4,0,4,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE000_hasCloseElements,0,46,0,4,0,5,0,8,0,6
blg475e-project-2026,edu.itu.blg475e.gemini,HE025_factorize,0,32,0,4,0,10,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE018_howManyTimes,0,29,0,6,0,6,0,5,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE011_stringXor,0,31,0,4,0,5,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE042_incrList,0,17,0,0,0,2,0,3,0,3
blg475e-project-2026,edu.itu.blg475e.gemini,HE034_unique,0,11,0,0,0,2,0,2,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE031_isPrime,0,36,0,10,0,7,0,7,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE126_isSorted,0,72,0,10,0,7,0,7,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE009_rollingMax,0,33,0,4,0,8,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE055_fib,0,24,0,4,0,4,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE024_largestDivisor,0,19,0,4,0,4,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE040_triplesSumToZero,0,55,0,8,0,6,0,6,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE047_median,0,48,0,2,0,6,0,3,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE017_parseMusic,0,57,1,7,0,9,1,6,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE014_allPrefixes,0,24,0,2,0,5,0,3,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE132_isNested,0,43,1,9,0,6,1,6,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE007_filterBySubstring,0,28,0,4,0,6,0,4,0,2
blg475e-project-2026,edu.itu.blg475e.gemini,HE010_isPalindrome,0,61,2,10,0,13,2,7,0,3
